animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,habitat
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,3
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,3
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,1
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,3
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3
Buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,3
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,3
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,1 
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,1
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,3
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,3
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,1
Clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,3
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,1
Crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,3
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,3
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2 
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,3
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,3
Flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,3 
Frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,3
Frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,3
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,2
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,3
Girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,1
